id,name,sex,age,height,weight,team,noc,year,city,sport,event,medal
137926,Karolina Bosiek,F,21,165,55,Poland,POL,2022,Beijing,Speed Skating,"Speed Skating Women's 1,000 metres",NA
137926,Karolina Bosiek,F,21,165,55,Poland,POL,2022,Beijing,Speed Skating,Speed Skating Women's Mass Start,NA
137926,Karolina Bosiek,F,21,165,55,Poland,POL,2022,Beijing,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),NA
137901,Syed Human,M,26,171,72,Pakistan,PAK,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
139880,Mattéo Baud,M,19,184,66,France,FRA,2022,Beijing,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",NA
139880,Mattéo Baud,M,19,184,66,France,FRA,2022,Beijing,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
139880,Mattéo Baud,M,19,184,66,France,FRA,2022,Beijing,Nordic Combined,Nordic Combined Men's Team,NA
118758,Elisa Brocard,F,33,162,51,Italy,ITA,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
118758,Elisa Brocard,F,33,162,51,Italy,ITA,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
118758,Elisa Brocard,F,33,162,51,Italy,ITA,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
118758,Elisa Brocard,F,33,162,51,Italy,ITA,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 4 × 5 kilometres Relay,NA
118758,Elisa Brocard,F,33,162,51,Italy,ITA,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,NA
148686,Atle Lie McGrath,M,21,182,NA,Norway,NOR,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
148686,Atle Lie McGrath,M,21,182,NA,Norway,NOR,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Slalom,NA
118858,Tucker Murphy,M,36,193,81,Bermuda,BER,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
148277,Martin Himma,M,22,NA,NA,Estonia,EST,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
148277,Martin Himma,M,22,NA,NA,Estonia,EST,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
148277,Martin Himma,M,22,NA,NA,Estonia,EST,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 4 × 10 kilometres Relay,NA
